Zone,region_fr,province_fr,cercle_fr,code_commune,commune_fr,douar_mere,code_localite,nom_fr,nom_ar,type_localite,milieu,population,menage,full_address,Latitude,Longitude,Google Maps Link
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610701,Adassil,-,71610701019,Tigunarine,تڭنارين,douar,rural,340,135,"Tigunarine, Adassil, Chichaoua",31.1105502,-8.4801308,"https://www.google.com/maps/?q=31.11055020,-8.48013080"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610703,Assif El Mal,-,71610703004,Taddart,تدارت,douar,rural,167,50,"Taddart, Assif El Mal, Chichaoua",31.3103297,-8.4781429,"https://www.google.com/maps/?q=31.31032970,-8.47814290"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610703,Assif El Mal,-,71610703005,Taskkourt,تسكورت,douar,rural,345,85,"Taskkourt, Assif El Mal, Chichaoua",31.1880309,-8.4691567,"https://www.google.com/maps/?q=31.18803090,-8.46915670"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610703,Assif El Mal,071610703015,7161070301501,Zaouiat Sidi Bou Athmane,زاوية سيدي بو عثمان,sous-douar,rural,136,31,"Zaouiat Sidi Bou Athmane, Assif El Mal, Chichaoua",31.2324603,-8.441728500000002,"https://www.google.com/maps/?q=31.23246030,-8.44172850"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610705,Douirane,-,71610705010,Adouz,أدوز,douar,rural,520,136,"Adouz, Douirane, Chichaoua",31.5478262,-8.7583828,"https://www.google.com/maps/?q=31.54782620,-8.75838280"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610709,Imindounit,-,71610709004,Angoukht,انكوخت,douar,rural,405,63,"Angoukht, Imindounit, Chichaoua",30.99568099999999,-8.5339957,"https://www.google.com/maps/?q=30.99568100,-8.53399570"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610709,Imindounit,-,71610709015,Tamgounsi,تمكونسي,douar,rural,500,105,"Tamgounsi, Imindounit, Chichaoua",31.0503146,-8.4715572,"https://www.google.com/maps/?q=31.05031460,-8.47155720"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610709,Imindounit,-,71610709021,Tizgui,تزكي,douar,rural,380,63,"Tizgui, Imindounit, Chichaoua",31.0887517,-8.4818457,"https://www.google.com/maps/?q=31.08875170,-8.48184570"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610713,M'Zouda,-,71610713006,Ait Bou Youssef,أيت بو يوسف,douar,rural,73,24,"Ait Bou Youssef, M'Zouda, Chichaoua",31.2867914,-8.5858382,"https://www.google.com/maps/?q=31.28679140,-8.58583820"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610713,M'Zouda,-,71610713099,Ait Brahim Lzifa,أيت براهيم الزيفة ,douar,rural,89,17,"Ait Brahim Lzifa, M'Zouda, Chichaoua",31.2156467,-8.5827473,"https://www.google.com/maps/?q=31.21564670,-8.58274730"
